"State","Number"
"Alabama",0.0410799655560289
"Alaska",0.0656081879018501
"Arizona",0.0523408498122358
"Arkansas",0.0491475300968686
"California",0.0633460906838424
"Colorado",0.0627422495923092
"Connecticut",0.0672558102359444
"Delaware",0.0603596573296025
"District of Columbia",0.0831617062406072
"Florida",0.0551609235514629
"Georgia",0.0438794483736467
"Hawaii",0.0479704171399955
"Idaho",0.054245271078085
"Illinois",0.055616873955969
"Indiana",0.0529282081065132
"Iowa",0.0635100160429343
"Kansas",0.0497554210086046
"Kentucky",0.0529276190751139
"Louisiana",0.063723869374769
"Maine",0.0560049111999052
"Maryland",0.0587859078185847
"Massachusetts",0.0746501645024354
"Michigan",0.0571637038884633
"Minnesota",0.056834493740264
"Mississippi",0.0444963256457579
"Missouri",0.0572005190460704
"Montana",0.0712561670516008
"Nebraska",0.0577412816216798
"Nevada",0.0522212342468473
"New Hampshire",0.0593772871550147
"New Jersey",0.0480536905859726
"New Mexico",0.0688124885491718
"New York",0.0603625047095206
"North Carolina",0.0453699499542627
"North Dakota",0.0682341478586379
"Ohio",0.0600916107281725
"Oklahoma",0.0534857492754064
"Oregon",0.0698332416533535
"Pennsylvania",0.0555474935174068
"Rhode Island",0.0676886931496859
"South Carolina",0.056124710057013
"South Dakota",0.0713599100025606
"Tennessee",0.0496566880751065
"Texas",0.0499767996200184
"Utah",0.0423926670660721
"Vermont",0.0678838049423079
"Virginia",0.0556089215527331
"Washington",0.056088372514584
"West Virginia",0.0444683585394812
"Wisconsin",0.0710077644337819
"Wyoming",0.0655864039384636
