"State","Number"
"Alabama",163000
"Alaska",38000
"Arizona",292000
"Arkansas",118000
"California",2017000
"Colorado",282000
"Connecticut",199000
"Delaware",48000
"District of Columbia",49000
"Florida",949000
"Georgia",362000
"Hawaii",56000
"Idaho",72000
"Illinois",578000
"Indiana",283000
"Iowa",161000
"Kansas",115000
"Kentucky",191000
"Louisiana",240000
"Maine",63000
"Maryland",290000
"Massachusetts",426000
"Michigan",465000
"Minnesota",254000
"Mississippi",107000
"Missouri",283000
"Montana",61000
"Nebraska",88000
"Nevada",124000
"New Hampshire",67000
"New Jersey",350000
"New Mexico",115000
"New York",986000
"North Carolina",376000
"North Dakota",42000
"Ohio",571000
"Oklahoma",167000
"Oregon",236000
"Pennsylvania",590000
"Rhode Island",60000
"South Carolina",228000
"South Dakota",49000
"Tennessee",270000
"Texas",1082000
"Utah",96000
"Vermont",36000
"Virginia",383000
"Washington",333000
"West Virginia",67000
"Wisconsin",336000
"Wyoming",30000
