"State","Number"
"Alabama",169000
"Alaska",40000
"Arizona",304000
"Arkansas",123000
"California",2088000
"Colorado",293000
"Connecticut",207000
"Delaware",49000
"District of Columbia",49000
"Florida",980000
"Georgia",377000
"Hawaii",58000
"Idaho",75000
"Illinois",601000
"Indiana",294000
"Iowa",167000
"Kansas",120000
"Kentucky",198000
"Louisiana",249000
"Maine",65000
"Maryland",299000
"Massachusetts",439000
"Michigan",483000
"Minnesota",263000
"Mississippi",111000
"Missouri",294000
"Montana",63000
"Nebraska",91000
"Nevada",129000
"New Hampshire",69000
"New Jersey",365000
"New Mexico",120000
"New York",1018000
"North Carolina",389000
"North Dakota",43000
"Ohio",591000
"Oklahoma",174000
"Oregon",244000
"Pennsylvania",609000
"Rhode Island",62000
"South Carolina",236000
"South Dakota",51000
"Tennessee",279000
"Texas",1139000
"Utah",102000
"Vermont",37000
"Virginia",396000
"Washington",345000
"West Virginia",70000
"Wisconsin",348000
"Wyoming",32000
