"","year","val","alc_prev","diff_opioid","diff_alc"
"1",2010,0.0135324251507,0.0225611397733,NA,NA
"2",2011,0.0136905649021,0.0226120140555,0.000158139751399999,5.08742821999988e-05
"3",2012,0.0137975615061,0.0226046351248,0.000106996604000001,-7.37893069999856e-06
"4",2013,0.0139282265716,0.0226129577752,0.0001306650655,8.32265039999933e-06
"5",2014,0.0140705772989,0.0226364023608,0.000142350727299999,2.34445856e-05
"6",2015,0.0142027879385,0.0226497331515,0.0001322106396,1.33307906999974e-05
